Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,2174
Base Time Seconds,1718894426
Base Time Fractional,.112062118
Base Time,06/20/2024 14:40:26.112062118
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
-2.8890089497,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.000000000,None,
-2.8894449915,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.016803788,None,
-2.889417853234,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.033607303,None,
-2.890638312888,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.069031636,None,
-2.890642581828,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.085834939,None,
-2.891752811335,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.102640091,None,
-2.892392542591,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.119438697,None,
-2.894294660597,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.136246363,None,
-2.890797026004,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.171671636,None,
-2.888868227119,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.188491909,None,
-2.888439046117,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.205292606,None,
-2.889072831348,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.222103939,None,
-2.890621542049,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.238913454,None,
-2.890415718123,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.274340636,None,
-2.891235049813,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.291151939,None,
-2.889968394122,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.307959181,None,
-2.89191426877,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.324757272,None,
-2.891039440851,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.341555424,None,
-2.887161565612,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.376982636,None,
-2.888628556591,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.393779606,None,
-2.888943238506,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.410591454,None,
-2.889375468751,Volt DC,10,6.5,F,F,F,F,F,F,Front,F,Main,0.427391636,None,
