Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,18297
Base Time Seconds,1719322439
Base Time Fractional,.528340723
Base Time,06/25/2024 13:33:59.528340723
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
-0.02294120239644,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000000000,None,
-0.02293965490509,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001128061,None,
-0.02294534567974,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002257970,None,
-0.02294601958726,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003373727,None,
-0.02294192622304,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004480970,None,
-0.02294140207274,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008575182,None,
-0.02294017905538,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009684970,None,
-0.02293868148311,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.010792334,None,
-0.02294105263921,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.011930849,None,
-0.02294564519419,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.013070697,None,
-0.02294579495142,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.014180970,None,
-0.02294704292832,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.015292727,None,
-0.02294022897446,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.016399182,None,
-0.02293975474324,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.017504667,None,
-0.02294519592251,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.018611212,None,
-0.02293883124033,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.022701182,None,
-0.02294235053518,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.023818849,None,
-0.02294245037334,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.024930909,None,
-0.02294102767967,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.026040455,None,
-0.02293608569116,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.027145243,None,
-0.02293975474324,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.028254424,None,
-0.02294165166812,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.029360667,None,
-0.02294629414218,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.030471909,None,
-0.02294477161036,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.031578970,None,
-0.02294182638489,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.032699758,None,
-0.02294399786469,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.036795182,None,
-0.02294122735598,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.037903485,None,
-0.02294080304383,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.039013788,None,
-0.02294185134443,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.040118637,None,
-0.02294230061611,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.041229515,None,
-0.0229424254138,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.042348970,None,
-0.0229392056334,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.043459818,None,
-0.02294092784152,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.044565303,None,
-0.0229440727433,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.045671121,None,
-0.0229480163503,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.046779364,None,
-0.02294030385307,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.050873182,None,
-0.02294661861617,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.051986637,None,
-0.02294581991096,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.053101940,None,
-0.0229431492404,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.054210182,None,
-0.02294250029241,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.055318758,None,
