Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,47282
Base Time Seconds,1719410364
Base Time Fractional,.720614027
Base Time,06/26/2024 13:59:24.720614027
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
-0.01275952892687,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000000000,None,
-0.01275850559208,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004091757,None,
-0.01275962876441,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005204151,None,
-0.01276269876878,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006319515,None,
-0.01276030266781,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007432091,None,
-0.01275917949548,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008540212,None,
-0.01275668355696,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009675878,None,
-0.0127589798204,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.010789606,None,
-0.01276337267218,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.011897545,None,
-0.01276392177866,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.013008394,None,
-0.01275940412994,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.014117454,None,
-0.01275870526716,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.018206757,None,
-0.01275643396311,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.019330333,None,
-0.0127564589225,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.020448909,None,
-0.01275870526716,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.021560909,None,
-0.01276454576329,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.022669757,None,
-0.01276332275341,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.023782575,None,
-0.01276120120568,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.024892515,None,
