Style,Standard,,,,,,,,,,,,,,
Append Mode,1,,,,,,,,,,,,,,
Fill Mode,1,,,,,,,,,,,,,,
Capacity,100000,,,,,,,,,,,,,,
Count,56834,,,,,,,,,,,,,,
Base Time Seconds,1719407106,,,,,,,,,,,,,,
Base Time Fractional,0.269913178,,,,,,,,,,,,,,
Base Time,05:06.3,,,,,,,,,,,,,,
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
-0.00430304,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0,None,
-0.004305087,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001131939,None,
-0.004305087,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002244878,None,
-0.004303365,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003353788,None,
-0.004300569,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004464151,None,
-0.004301393,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005570272,None,
-0.004307333,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006675454,None,
-0.004302641,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.010764848,None,
-0.004301618,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.011885757,None,
-0.004300644,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.012991848,None,
-0.004298423,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.014098424,None,
-0.004298897,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.015206363,None,
-0.004301293,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.016313515,None,
-0.004305386,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.017417969,None,
-0.004305935,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.018524545,None,
-0.004304588,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.01964003,None,
-0.004300869,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.020761545,None,
-0.004304887,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.024851848,None,
-0.004301293,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.025961515,None,
-0.004301093,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.027067909,None,
-0.004301817,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.028172697,None,
-0.004302142,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.029282212,None,
-0.004301018,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.030421151,None,
-0.004299596,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.031531303,None,
-0.004301568,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.032637272,None,
-0.00430319,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.033743,None,
-0.004305711,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.03486203,None,
-0.004301375,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.038956848,None,
-0.004307714,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.040103606,None,
-0.00430407,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.041219848,None,
-0.00430115,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.042331545,None,
-0.004301524,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.043437757,None,
-0.004302074,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.044542545,None,
-0.004302573,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.045653272,None,
-0.004301325,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.046762272,None,
-0.004298554,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.047867485,None,
-0.004299902,Volt DC,0.1,5.5,F,F,F,F,F,F,Front,F,Main,0.048976636,None,
