Start date:,07/02/2024,Start time:,17:31:58.140
Reading #,Reading
1,+3.33120898E-03
2,+3.73134055E-03
3,+4.05830770E-03
4,+4.30510712E-03
5,+4.47209753E-03
6,+4.58403269E-03
7,+4.61448182E-03
8,+4.57928655E-03
9,+4.47012526E-03
10,+4.26136880E-03
11,+3.96922785E-03
12,+3.55471023E-03
13,+3.12807408E-03
14,+2.67361505E-03
15,+2.16352060E-03
16,+1.59515416E-03
17,+9.78893746E-04
18,+3.42404290E-04
19,-2.81966630E-04
20,-9.29477758E-04
21,-1.53691018E-03
22,-2.13615828E-03
23,-2.68261864E-03
24,-3.22695910E-03
25,-3.74771647E-03
26,-4.16865723E-03
27,-4.56601489E-03
28,-4.91065864E-03
29,-5.14861974E-03
30,-5.31056874E-03
31,-5.40191611E-03
32,-5.46638983E-03
33,-5.42170228E-03
34,-5.24354258E-03
35,-5.00630928E-03
36,-4.71526520E-03
37,-4.36602294E-03
38,-3.93843758E-03
39,-3.45557554E-03
40,-2.91211049E-03
41,-2.36944705E-03
42,-1.80232510E-03
43,-1.18284795E-03
44,-5.60670747E-04
45,+5.51571146E-05
46,+6.58349758E-04
47,+1.27263790E-03
48,+1.86575810E-03
49,+2.43258482E-03
50,+2.93939904E-03
51,+3.39071513E-03
52,+3.78829426E-03
53,+4.10219365E-03
54,+4.31277476E-03
55,+4.50057439E-03
56,+4.59739570E-03
57,+4.59352497E-03
58,+4.56409889E-03
59,+4.44639455E-03
60,+4.21047952E-03
61,+3.88036943E-03
62,+3.50257647E-03
63,+3.08039121E-03
64,+2.58059065E-03
65,+2.04384400E-03
66,+1.49555897E-03
67,+8.82726416E-04
68,+2.32947761E-04
69,-3.69074214E-04
70,-9.84459199E-04
71,-1.59481312E-03
72,-2.15214754E-03
73,-2.70605410E-03
74,-3.25171285E-03
75,-3.72500880E-03
76,-4.16982789E-03
77,-4.59748706E-03
78,-4.87853250E-03
79,-5.09933367E-03
80,-5.25018718E-03
81,-5.33817018E-03
82,-5.35627933E-03
83,-5.28808251E-03
84,-5.17410128E-03
85,-4.98374923E-03
86,-4.68861299E-03
87,-4.32243224E-03
88,-3.88243310E-03
89,-3.41468490E-03
90,-2.89794588E-03
91,-2.35907935E-03
92,-1.78538661E-03
93,-1.15933868E-03
94,-5.11237052E-04
95,+1.48909299E-04
96,+7.51954319E-04
97,+1.33368377E-03
98,+1.90832575E-03
99,+2.46508002E-03
100,+2.95816217E-03
101,+3.40692583E-03
102,+3.79084669E-03
103,+4.12957366E-03
104,+4.33270856E-03
105,+4.47085306E-03
106,+4.54978665E-03
107,+4.56212662E-03
108,+4.49298056E-03
109,+4.36001475E-03
110,+4.13454124E-03
111,+3.84794803E-03
112,+3.50469636E-03
113,+3.08638183E-03
114,+2.61089215E-03
115,+2.04873776E-03
116,+1.49388195E-03
117,+9.16972455E-04
118,+2.77782939E-04
119,-3.54614349E-04
120,-9.82634554E-04
121,-1.64760085E-03
122,-2.24794580E-03
123,-2.79148466E-03
124,-3.31786360E-03
125,-3.82525796E-03
126,-4.27321998E-03
127,-4.62151302E-03
128,-4.92971702E-03
129,-5.18739048E-03
130,-5.33532249E-03
131,-5.39709616E-03
132,-5.40104070E-03
133,-5.33262243E-03
134,-5.19235806E-03
