Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,13415
Base Time Seconds,1719845689
Base Time Fractional,.014179360
Base Time,07/01/2024 14:54:49.014179360
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Time Stamp,Channel,CH Label
-0.0009427745584921,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.014179360,None,
-0.001222793603981,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.015323148,None,
-0.01137513756048,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.106090390,None,
-0.001603049434093,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.107235330,None,
-0.001073340241135,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.209629481,None,
-0.001085520401153,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.214547784,None,
-0.001039670085675,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.219237148,None,
-0.001051825286349,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.223829208,None,
-0.0009733281485281,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.228453663,None,
-0.001277308002748,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.233077724,None,
-0.001141329495006,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.237701390,None,
-0.001325279862491,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.242324784,None,
-0.001369607657967,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.246948148,None,
-0.001051500814873,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.251571572,None,
-0.001328075309053,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.256194724,None,
-0.001549115262167,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.260818118,None,
-0.001510253563093,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.265441269,None,
-0.00142257138657,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.270064481,None,
-0.001707232708302,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.274687633,None,
-0.001573725175646,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.279310693,None,
-0.001949438185382,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.283933663,None,
-0.001243662806633,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.288556542,None,
-0.001432679921011,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.293179512,None,
-0.001300420355569,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.297802451,None,
-0.001958922736215,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.302425693,None,
-0.001627762156053,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.307048572,None,
-0.001976718748701,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.311671360,None,
-0.002452468810388,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.316294087,None,
-0.001325454577901,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.320916966,None,
-0.002848149295563,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.325539845,None,
-0.003421440474772,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.330162905,None,
-0.001200533059684,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.334785845,None,
-0.001490635518474,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.339408602,None,
-0.0021468166801,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.344031239,None,
-0.001337435063165,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.348654027,None,
-0.001055144879141,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.353277178,None,
-0.008316167566601,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.357899936,None,
-0.004630271437871,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.362522663,None,
-0.01582091825114,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.367145360,None,
-0.0009292249871514,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.371768027,None,
-0.008320785045297,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.376390966,None,
-0.00433006044464,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.381013754,None,
-0.001454644143994,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.385636754,None,
-0.0009666140849117,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.390259602,None,
-0.002693576076318,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.394882178,None,
-0.003822062910118,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.399504815,None,
-0.001122185677929,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.404127693,None,
-0.00256528504662,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.408750390,None,
-0.0007414558399885,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.413373027,None,
-0.001765512777241,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.417995815,None,
-0.0009364132783096,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.422618572,None,
-0.0009765479039427,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.427241299,None,
-0.001057665772915,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.431864057,None,
-0.006452153815648,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.436486996,None,
-0.001245310123357,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.441109815,None,
-0.001099572511994,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.445732451,None,
-0.01658949134015,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.450355087,None,
-0.001172478756692,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.454977784,None,
-0.001969156067378,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.459600421,None,
-0.002009814839241,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.464223057,None,
-0.01345549623256,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.468845815,None,
-0.001410141633109,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.473468360,None,
-0.01487373609433,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.478090784,None,
-0.006151693228974,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.482713390,None,
-0.001929673430852,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.487336178,None,
-0.001663132818229,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.491958845,None,
-0.001802580557037,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.496581481,None,
-0.001541630832813,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,07/01/2024 14:54:49.501204027,None,
