Start date:,07/01/2024,Start time:,19:09:35.440
Reading #,Reading
1,-1.99332376E-02
2,-2.02795215E-02
3,-2.02722178E-02
4,-2.02769639E-02
5,-2.02698447E-02
6,-2.02744063E-02
7,-2.02716642E-02
8,-2.02724023E-02
9,-2.02744063E-02
10,-2.02765949E-02
11,-2.02700292E-02
12,-2.02795215E-02
13,-2.02771484E-02
14,-2.02650986E-02
15,-2.02672871E-02
16,-2.02767794E-02
17,-2.02767794E-02
18,-2.02696602E-02
19,-2.02700292E-02
20,-2.02720332E-02
21,-2.02793370E-02
22,-2.02700292E-02
23,-2.02722178E-02
24,-2.02767794E-02
25,-2.02747754E-02
26,-2.02765949E-02
27,-2.02747754E-02
28,-2.02700292E-02
29,-2.02811565E-02
30,-2.02720332E-02
31,-2.02767794E-02
32,-2.02674716E-02
33,-2.02676562E-02
34,-2.02762258E-02
35,-2.02691066E-02
36,-2.02694756E-02
37,-2.02696602E-02
38,-2.02671026E-02
39,-2.02742218E-02
40,-2.02674716E-02
41,-2.02647295E-02
42,-2.02724023E-02
43,-2.02557908E-02
44,-2.02625410E-02
45,-2.02654676E-02
46,-2.02773330E-02
47,-2.02762258E-02
48,-2.02676562E-02
49,-2.02676562E-02
50,-2.02656522E-02
51,-2.02738527E-02
52,-2.02747754E-02
53,-2.02764103E-02
54,-2.02698447E-02
55,-2.02672871E-02
56,-2.02815255E-02
57,-2.02744063E-02
58,-2.02674716E-02
59,-2.02678407E-02
60,-2.02769639E-02
61,-2.02738527E-02
62,-2.02722178E-02
63,-2.02680252E-02
64,-2.02718487E-02
65,-2.02698447E-02
66,-2.02696602E-02
67,-2.02669180E-02
68,-2.02671026E-02
69,-2.02764103E-02
70,-2.02740372E-02
71,-2.02764103E-02
72,-2.02652831E-02
73,-2.02696602E-02
74,-2.02767794E-02
75,-2.02742218E-02
76,-2.02764103E-02
77,-2.02696602E-02
78,-2.02720332E-02
79,-2.02650986E-02
80,-2.02696602E-02
81,-2.02747754E-02
82,-2.02767794E-02
83,-2.02815255E-02
84,-2.02702138E-02
85,-2.02791525E-02
86,-2.02585329E-02
87,-2.02722178E-02
88,-2.02698447E-02
89,-2.02835295E-02
90,-2.02718487E-02
91,-2.02720332E-02
92,-2.02698447E-02
93,-2.02744063E-02
94,-2.02654676E-02
95,-2.02724023E-02
96,-2.02765949E-02
97,-2.02698447E-02
98,-2.02724023E-02
99,-2.02722178E-02
100,-2.02725868E-02
101,-2.02725868E-02
102,-2.02667335E-02
103,-2.02650986E-02
104,-2.02744063E-02
105,-2.02671026E-02
106,-2.02627255E-02
107,-2.02815255E-02
108,-2.02720332E-02
109,-2.02698447E-02
110,-2.02744063E-02
111,-2.02813410E-02
112,-2.02742218E-02
113,-2.02652831E-02
114,-2.02744063E-02
115,-2.02656522E-02
116,-2.02724023E-02
117,-2.02775175E-02
118,-2.02672871E-02
119,-2.02793370E-02
120,-2.02672871E-02
121,-2.02725868E-02
122,-2.02718487E-02
123,-2.02674716E-02
124,-2.02650986E-02
125,-2.02692911E-02
126,-2.02650986E-02
127,-2.02742218E-02
128,-2.02724023E-02
129,-2.02813410E-02
130,-2.02837141E-02
131,-2.02722178E-02
132,-2.02623564E-02
133,-2.02694756E-02
134,-2.02691066E-02
135,-2.02740372E-02
136,-2.02791525E-02
137,-2.02764103E-02
138,-2.02767794E-02
139,-2.02698447E-02
140,-2.02652831E-02
141,-2.02744063E-02
142,-2.02820791E-02
143,-2.02762258E-02
144,-2.02747754E-02
145,-2.02696602E-02
146,-2.02696602E-02
147,-2.02957640E-02
148,-2.03026986E-02
149,-2.02884602E-02
150,-2.02908333E-02
151,-2.02952104E-02
152,-2.02937599E-02
153,-2.02890138E-02
154,-2.02961330E-02
155,-2.02908333E-02
156,-2.03005101E-02
157,-2.02842677E-02
158,-2.02975834E-02
159,-2.02891983E-02
160,-2.02888293E-02
161,-2.02986906E-02
162,-2.02844522E-02
163,-2.02888293E-02
164,-2.02891983E-02
165,-2.02932063E-02
166,-2.03005101E-02
167,-2.03050717E-02
168,-2.03450449E-02
169,-2.04759328E-02
170,-2.24395441E-02
171,-2.48491083E-02
172,-2.39948026E-02
173,-2.37197109E-02
174,-2.36746225E-02
175,-2.36540030E-02
176,-2.36152958E-02
177,-2.35778802E-02
178,-2.34351269E-02
179,-2.33978959E-02
180,-2.33716075E-02
181,-2.33142848E-02
182,-2.32598887E-02
183,-2.31839504E-02
184,-2.31578466E-02
185,-2.31408660E-02
186,-2.37713649E-02
187,-2.36034304E-02
188,-2.21664564E-02
