Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,50000
Base Time Seconds,1720529978
Base Time Fractional,.963978935
Base Time,07/09/2024 12:59:38.963978935
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
-0.0002081939980196,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000000000,None,
-0.0002151785829543,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000199152,None,
-0.000222163167889,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000398364,None,
-0.0002091917958675,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000597546,None,
-0.0002042028066284,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000796728,None,
-0.0002101895937153,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000995940,None,
-0.0002206664711173,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001195091,None,
-0.0002131829872587,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001394243,None,
-0.0002151785829543,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001593455,None,
-0.0002151785829543,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001792637,None,
-0.0002246576625085,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001991788,None,
-0.0002091917958675,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002190970,None,
-0.0002226620668129,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002390152,None,
-0.000216675279726,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002589334,None,
-0.0002141807851065,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002788515,None,
-0.0002121851894109,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002987697,None,
-0.0002196686732695,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003186879,None,
-0.0002231609657368,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003386031,None,
-0.0002206664711173,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003585243,None,
-0.0002241587635846,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003784394,None,
-0.0002241587635846,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003983606,None,
-0.0002211653700412,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004182788,None,
-0.0002226620668129,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004381970,None,
-0.0002236598646607,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004581152,None,
-0.000227152157128,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004780334,None,
-0.0002181719764977,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004979515,None,
-0.0002191697743456,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005178728,None,
-0.0002111873915631,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005377849,None,
-0.0002206664711173,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005577031,None,
-0.0002171741786499,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005776212,None,
-0.0002156774818782,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005975425,None,
-0.0002231609657368,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006174576,None,
-0.0002216642689651,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006373788,None,
-0.0002156774818782,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006572940,None,
-0.0002096906947914,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006772122,None,
-0.0002176730775738,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006971334,None,
-0.000222163167889,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007170485,None,
-0.0002151785829543,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007369667,None,
-0.0002186708754217,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007568849,None,
-0.0002196686732695,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007768061,None,
-0.0002101895937153,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007967212,None,
-0.000211686290487,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008166425,None,
-0.000216675279726,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008365606,None,
-0.0002211653700412,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008564788,None,
-0.0002126840883348,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008763970,None,
-0.0002136818861826,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008963152,None,
-0.0002206664711173,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009162334,None,
-0.0002231609657368,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009361515,None,
-0.0002181719764977,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009560697,None,
-0.0002231609657368,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009759879,None,
