Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,50000
Base Time Seconds,1720605976
Base Time Fractional,.999586284
Base Time,07/10/2024 10:06:16.999586284
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
-0.001465469827515,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000000000,None,
-0.001464421560198,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001761515,None,
-0.001465320075041,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.021901121,None,
-0.001469612979289,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.042039940,None,
-0.00146606883741,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.062179909,None,
-0.001467216939709,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.082320394,None,
-0.001464970652602,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.102460212,None,
-0.001467616279639,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.122599394,None,
-0.001470112154202,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.142739061,None,
-0.001471959101378,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.162878940,None,
-0.001461226840758,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.183019849,None,
-0.001462624530513,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.203159818,None,
-0.001463722715321,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.223299031,None,
-0.001464022220268,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.243438546,None,
-0.001468914134412,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.263579334,None,
-0.001461176923267,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.283719303,None,
-0.001459529646055,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.303858455,None,
-0.001470062236711,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.323998091,None,
-0.001463073787934,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.344137606,None,
-0.001468265207025,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.364277637,None,
-0.001463922385286,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.384417818,None,
-0.001454787484386,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.404557940,None,
-0.001469413309324,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.424698485,None,
-0.001465220240059,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.444838546,None,
-0.001467566362148,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.464978818,None,
-0.001463373292882,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.485119697,None,
-0.001463572962847,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.505259546,None,
-0.001464820900128,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.525399364,None,
-0.001462724365496,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.545539940,None,
-0.001461226840758,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.565679909,None,
-0.001463173622917,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.585820243,None,
-0.001459529646055,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.605960909,None,
-0.001463622880338,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.626100243,None,
-0.001469513144307,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.646240425,None,
-0.001463173622917,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.666381121,None,
-0.00146132667574,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.686521273,None,
-0.001462774282987,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.706661485,None,
-0.001464171972742,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.726802546,None,
-0.001466318424866,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.746943091,None,
-0.00146172601567,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.767083485,None,
-0.001461426510723,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.787223667,None,
-0.001463523045356,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.807363697,None,
-0.001462125355601,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.827503606,None,
-0.001464371642707,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.847644303,None,
-0.001465569695395,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.867783909,None,
-0.001461226873653,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.887923546,None,
-0.001465519777904,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.908063000,None,
-0.001458980586544,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.928203182,None,
-0.001460228523827,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.948344212,None,
-0.001459779266405,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.968484425,None,
-0.001459280091492,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.988624546,None,
-0.001463922418183,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.008764212,None,
-0.001457882401736,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.028903940,None,
-0.001458631164105,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.049044425,None,
-0.001457233474349,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.069184515,None,
-0.001460677781248,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.089324849,None,
-0.001461176956161,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.109465455,None,
-0.001460278441318,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.129605940,None,
-0.001454138589889,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.149746334,None,
-0.001456584546962,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.169886182,None,
-0.001461176956161,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.190025849,None,
-0.001462973985848,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.210165697,None,
-0.001467067220134,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.230306576,None,
-0.001460677781248,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.250447606,None,
-0.001459829183896,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.270587212,None,
-0.001462025553513,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.290726970,None,
-0.001457483061805,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.310866606,None,
-0.001462874150865,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.331007000,None,
-0.001460627863757,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.351147000,None,
-0.001451842385289,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.371287061,None,
-0.001462973985848,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.391427000,None,
-0.001457183556858,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.411567606,None,
-0.001459779266405,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.431708576,None,
-0.001457882401736,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.451849273,None,
-0.001456784216927,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.471989303,None,
-0.001461226873653,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.492129000,None,
-0.001458231824175,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,1.512269182,None,
