Start date:,07/09/2024,Start time:,18:41:00.110
Reading #,Reading
1,-9.02470798E-05
2,-8.81965044E-05
3,-8.94980743E-05
4,-8.93236886E-05
5,-8.93163368E-05
6,-9.00653423E-05
7,-8.82984009E-05
8,-9.03710319E-05
9,-8.71565130E-05
10,-8.80872560E-05
11,-8.93457441E-05
12,-8.79128704E-05
13,-8.93236886E-05
14,-8.99056603E-05
15,-8.78183257E-05
16,-8.73603060E-05
17,-8.85746831E-05
18,-8.85673312E-05
19,-9.07492105E-05
20,-8.67783343E-05
21,-8.98909567E-05
22,-8.75567472E-05
23,-8.79128704E-05
24,-8.94035296E-05
25,-8.86692278E-05
26,-8.86765796E-05
27,-9.00800460E-05
28,-8.85599794E-05
29,-9.13889677E-05
30,-8.80000632E-05
31,-8.81818007E-05
32,-8.83782419E-05
33,-8.85746831E-05
34,-8.95127780E-05
35,-8.80946079E-05
36,-8.76145327E-05
37,-8.95926190E-05
38,-8.89602136E-05
39,-8.80074151E-05
40,-8.98836048E-05
41,-8.62331218E-05
42,-8.97092192E-05
43,-8.98184675E-05
44,-8.99855013E-05
45,-9.07418587E-05
46,-8.84727866E-05
47,-9.04582247E-05
48,-8.97312747E-05
49,-8.95926190E-05
50,-9.08290515E-05
51,-8.76292364E-05
52,-8.90327028E-05
53,-8.88436134E-05
54,-8.93016331E-05
55,-8.94255851E-05
56,-8.77090774E-05
57,-8.94329370E-05
58,-8.93163368E-05
59,-8.88583171E-05
60,-8.78330294E-05
61,-8.87564206E-05
62,-8.81019597E-05
63,-9.05380657E-05
64,-8.72510577E-05
65,-8.73529542E-05
66,-8.94035296E-05
67,-8.77164292E-05
68,-9.00653423E-05
69,-8.82185599E-05
70,-8.83635382E-05
71,-8.94182333E-05
72,-8.88436134E-05
73,-8.87637724E-05
74,-8.72510577E-05
75,-8.67636306E-05
76,-8.89528618E-05
77,-8.95348335E-05
78,-8.80221187E-05
79,-8.94329370E-05
80,-8.89528618E-05
81,-9.04729284E-05
82,-8.84801384E-05
83,-8.88289097E-05
84,-9.03783837E-05
85,-8.66764378E-05
86,-8.99855013E-05
87,-8.90547583E-05
88,-8.76145327E-05
89,-8.91493030E-05
90,-8.86839314E-05
91,-9.11053337E-05
92,-8.83131046E-05
93,-8.84727866E-05
94,-9.00002050E-05
95,-8.79275741E-05
96,-8.80147669E-05
97,-8.84801384E-05
98,-8.79128704E-05
99,-8.76071808E-05
100,-8.83929456E-05
101,-8.81965044E-05
102,-8.92070884E-05
103,-8.67930380E-05
104,-8.94108815E-05
105,-8.88509653E-05
106,-8.75346917E-05
107,-8.91493030E-05
108,-8.61963626E-05
109,-8.80946079E-05
110,-8.77090774E-05
111,-8.67709825E-05
112,-8.84948421E-05
113,-8.79927114E-05
114,-8.84727866E-05
115,-8.71344575E-05
116,-8.86692278E-05
117,-8.94182333E-05
118,-8.89675655E-05
119,-8.63854520E-05
120,-9.08437552E-05
121,-8.83635382E-05
122,-8.80147669E-05
123,-8.87564206E-05
124,-8.74180915E-05
125,-9.01819425E-05
126,-8.78256776E-05
127,-8.92438476E-05
128,-9.03489763E-05
129,-8.83929456E-05
130,-8.98836048E-05
131,-9.01672388E-05
132,-8.74401470E-05
133,-9.05380657E-05
134,-8.63129628E-05
135,-8.94255851E-05
136,-8.91419511E-05
137,-8.66690860E-05
138,-8.92291440E-05
139,-8.80074151E-05
140,-8.95348335E-05
141,-8.98037638E-05
142,-8.72657614E-05
143,-8.76292364E-05
144,-8.86471722E-05
145,-8.84727866E-05
146,-8.95127780E-05
147,-8.78403812E-05
148,-8.86765796E-05
149,-8.94255851E-05
150,-8.83855937E-05
151,-9.00800460E-05
152,-8.70546165E-05
153,-8.81744489E-05
154,-8.97312747E-05
155,-8.69674237E-05
156,-8.99855013E-05
157,-8.82616417E-05
158,-8.87343651E-05
159,-9.03783837E-05
160,-8.74474989E-05
161,-8.88436134E-05
162,-8.83561864E-05
163,-8.86692278E-05
164,-8.98983085E-05
165,-8.80872560E-05
166,-8.74548507E-05
167,-8.85021939E-05
168,-8.76292364E-05
169,-8.85820349E-05
170,-8.85673312E-05
171,-8.82910491E-05
172,-8.99855013E-05
173,-8.67636306E-05
174,-8.95999708E-05
175,-8.87564206E-05
176,-8.75273399E-05
177,-9.00002050E-05
178,-8.69453681E-05
179,-8.86692278E-05
180,-8.85893868E-05
181,-8.70619683E-05
182,-8.84727866E-05
183,-8.84580829E-05
184,-8.79128704E-05
185,-9.07418587E-05
186,-8.53528124E-05
187,-8.80725524E-05
188,-8.72584095E-05
189,-8.70472647E-05
190,-8.96073226E-05
191,-8.72731132E-05
192,-8.78256776E-05
193,-8.72290022E-05
194,-8.78403812E-05
195,-8.86618759E-05
196,-8.77458366E-05
197,-8.79202222E-05
198,-8.83855937E-05
199,-8.65965968E-05
200,-8.95201298E-05
201,-8.80946079E-05
202,-8.71565130E-05
203,-9.11273892E-05
204,-8.77237810E-05
205,-9.00002050E-05
206,-8.93089849E-05
207,-8.63203146E-05
208,-8.98037638E-05
209,-8.90327028E-05
210,-8.82836972E-05
211,-9.08143478E-05
212,-8.69600718E-05
213,-8.98689011E-05
214,-8.96293782E-05
215,-8.86912833E-05
216,-9.04508728E-05
217,-8.76292364E-05
218,-9.01021015E-05
219,-9.12292857E-05
220,-8.77384847E-05
221,-8.89528618E-05
222,-8.79055185E-05
223,-8.90621101E-05
224,-9.05748249E-05
225,-8.78330294E-05
226,-8.86692278E-05
227,-8.89455099E-05
228,-9.04435210E-05
229,-9.03416245E-05
230,-8.81019597E-05
231,-8.81965044E-05
232,-8.78908149E-05
233,-8.79128704E-05
234,-8.97018673E-05
235,-8.66690860E-05
236,-8.89234544E-05
237,-8.88583171E-05
238,-8.85820349E-05
239,-8.92438476E-05
240,-8.75273399E-05
241,-8.71638649E-05
242,-8.90474064E-05
243,-8.80000632E-05
244,-8.81166634E-05
245,-8.76218845E-05
246,-8.62331218E-05
247,-9.06620177E-05
248,-8.88289097E-05
249,-8.90327028E-05
250,-8.85893868E-05
251,-8.66837897E-05
252,-8.89749173E-05
253,-8.86471722E-05
254,-8.82910491E-05
255,-9.01525351E-05
256,-8.77311329E-05
257,-9.01745907E-05
258,-9.00075568E-05
259,-8.87637724E-05
260,-8.87711243E-05
261,-8.69527200E-05
262,-8.90474064E-05
263,-8.86618759E-05
264,-8.76365882E-05
265,-8.97964120E-05
266,-8.77237810E-05
267,-8.87564206E-05
268,-9.08290515E-05
269,-8.76365882E-05
270,-8.82836972E-05
271,-8.84002974E-05
272,-8.66690860E-05
273,-8.88289097E-05
274,-8.68728790E-05
275,-8.79055185E-05
276,-8.87490688E-05
277,-8.78183257E-05
278,-9.04729284E-05
279,-8.70472647E-05
280,-8.80221187E-05
281,-9.00800460E-05
282,-8.62110663E-05
283,-8.81965044E-05
284,-8.68802308E-05
285,-8.74180915E-05
286,-9.03783837E-05
287,-8.81818007E-05
288,-8.82763454E-05
289,-8.75346917E-05
290,-8.63707483E-05
291,-8.90474064E-05
292,-8.68875827E-05
293,-8.85820349E-05
294,-8.87711243E-05
295,-8.49966892E-05
296,-9.00947497E-05
297,-8.90474064E-05
298,-8.75126362E-05
299,-8.87417169E-05
300,-8.69894792E-05
301,-9.02470798E-05
302,-8.98983085E-05
303,-8.77164292E-05
304,-9.07345069E-05
305,-8.79853595E-05
306,-8.87784761E-05
307,-8.95127780E-05
308,-8.71565130E-05
309,-8.87784761E-05
310,-8.83635382E-05
311,-8.87637724E-05
312,-8.97018673E-05
313,-8.66764378E-05
314,-8.75493954E-05
315,-8.91125438E-05
316,-8.64726448E-05
317,-8.94182333E-05
318,-8.83708901E-05
319,-8.82763454E-05
320,-8.92438476E-05
321,-8.74474989E-05
322,-8.93016331E-05
323,-8.79275741E-05
324,-8.76292364E-05
