Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,50000
Base Time Seconds,1720530617
Base Time Fractional,.300335678
Base Time,07/09/2024 13:10:17.300335678
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
-0.0001084157078983,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000000000,None,
-0.000103426718436,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000199667,None,
-0.0001004333247586,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000399333,None,
-0.0001049234152747,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000598970,None,
-0.0001054223142209,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000798637,None,
-0.0001104113036832,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000998273,None,
-0.0001024289205435,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001197909,None,
-0.0001064201121134,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001397576,None,
-0.0001104113036832,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001597243,None,
-0.0001039256173822,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001796879,None,
-0.0001039256173822,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001996576,None,
-0.000109912404737,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002196212,None,
-0.0001158991920918,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002395849,None,
-0.000107916808952,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002595546,None,
-0.000107916808952,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002795212,None,
-0.0001154002931455,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002994849,None,
-0.0001158991920918,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003194515,None,
-0.0001069190110596,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003394212,None,
-0.0001074179100058,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003593818,None,
-0.0001119080005219,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003793485,None,
-0.000116398091038,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003993152,None,
-0.0001094135057907,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004192818,None,
-0.0001069190110596,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004392485,None,
-0.0001089146068445,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004592121,None,
-0.0001144024952531,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004791758,None,
-0.000107916808952,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004991455,None,
-0.0001019300215973,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005191091,None,
-0.000107916808952,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005390758,None,
-0.0001109102026294,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005590394,None,
-0.0001124068994681,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005790061,None,
-0.0001104113036832,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005989727,None,
-0.0001084157078983,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006189364,None,
-0.000107916808952,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006389030,None,
-0.000109912404737,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006588697,None,
-0.0001069190110596,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006788364,None,
-0.0001029278194897,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006988030,None,
-0.0001054223142209,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007187667,None,
-0.000107916808952,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007387364,None,
-9.993442581234e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007587000,None,
-0.0001009322237048,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007786667,None,
-0.0001084157078983,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007986333,None,
-0.0001109102026294,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008186000,None,
-0.0001064201121134,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008385667,None,
-0.000107916808952,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008585303,None,
-0.0001144024952531,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008784970,None,
-0.0001193914847154,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008984606,None,
