Start date:,07/08/2024,Start time:,16:37:48.750
Reading #,Reading
1,-8.96467344E-05
2,-8.99419843E-05
3,-9.16190039E-05
4,-8.78220899E-05
5,-9.15451914E-05
6,-8.97205469E-05
7,-8.78220899E-05
8,-9.06697754E-05
9,-9.23467949E-05
10,-9.07435879E-05
11,-9.15451914E-05
12,-9.41714395E-05
13,-8.99419843E-05
14,-9.54159179E-05
15,-9.24944199E-05
16,-9.16190039E-05
17,-9.42452519E-05
18,-8.76744649E-05
19,-9.05959629E-05
20,-8.65776114E-05
21,-9.35174609E-05
22,-8.94991094E-05
23,-9.63651464E-05
24,-9.51944805E-05
25,-9.60698965E-05
26,-9.08174003E-05
27,-9.33698359E-05
28,-9.34436484E-05
29,-9.70929375E-05
30,-9.54159179E-05
31,-1.01037476E-04
32,-9.16190039E-05
33,-9.62913339E-05
34,-8.97943593E-05
35,-9.81897909E-05
36,-9.34436484E-05
37,-9.34436484E-05
38,-9.43190644E-05
39,-9.44666894E-05
40,-1.01332726E-04
41,-9.61437090E-05
42,-9.33698359E-05
43,-9.62175214E-05
44,-9.93604569E-05
45,-9.72405624E-05
46,-1.00088248E-04
47,-9.91390194E-05
48,-9.73881874E-05
49,-9.98668105E-05
50,-9.93604569E-05
51,-9.99406230E-05
52,-9.33698359E-05
53,-9.70929375E-05
54,-9.81897909E-05
55,-9.35912734E-05
56,-9.61437090E-05
57,-9.70191250E-05
58,-9.81897909E-05
59,-1.00309685E-04
60,-9.92128319E-05
61,-9.90652070E-05
62,-8.89927558E-05
63,-9.70929375E-05
64,-9.72405624E-05
65,-9.62913339E-05
66,-9.43190644E-05
67,-9.32960234E-05
68,-8.86975059E-05
69,-9.53421054E-05
70,-9.33698359E-05
71,-9.13975664E-05
72,-9.46143144E-05
73,-9.54159179E-05
74,-9.14713789E-05
75,-9.33698359E-05
76,-9.23467949E-05
77,-8.87713184E-05
78,-9.43928769E-05
79,-8.96467344E-05
80,-9.16190039E-05
81,-9.41714395E-05
82,-9.06697754E-05
83,-9.25682324E-05
84,-9.70191250E-05
85,-8.86236934E-05
86,-9.08174003E-05
87,-9.15451914E-05
88,-9.23467949E-05
89,-9.24944199E-05
90,-8.86975059E-05
91,-8.78220899E-05
92,-8.86236934E-05
93,-9.23467949E-05
94,-9.51944805E-05
95,-9.23467949E-05
96,-9.63651464E-05
97,-9.06697754E-05
98,-9.16928164E-05
99,-9.24944199E-05
100,-9.34436484E-05
101,-8.40989883E-05
102,-8.49005919E-05
103,-8.69466738E-05
104,-9.24944199E-05
105,-8.84760684E-05
106,-9.60698965E-05
107,-9.53421054E-05
108,-8.97943593E-05
109,-9.44666894E-05
110,-9.35912734E-05
111,-9.43928769E-05
112,-9.62913339E-05
113,-9.72405624E-05
114,-9.27158573E-05
115,-9.51944805E-05
116,-8.78959023E-05
117,-9.70929375E-05
118,-9.23467949E-05
119,-9.54897304E-05
120,-9.34436484E-05
121,-9.43190644E-05
122,-9.73881874E-05
123,-9.56373553E-05
124,-9.44666894E-05
125,-9.61437090E-05
126,-9.91390194E-05
127,-1.01839080E-04
128,-9.54897304E-05
129,-9.79683535E-05
130,-9.99406230E-05
131,-9.82636034E-05
132,-9.51944805E-05
133,-9.71667499E-05
134,-9.45405019E-05
135,-9.73881874E-05
136,-9.53421054E-05
137,-9.22729825E-05
138,-8.86236934E-05
139,-9.35174609E-05
140,-9.52682929E-05
141,-9.82636034E-05
142,-9.62175214E-05
143,-1.00235873E-04
144,-1.01258914E-04
145,-9.89913945E-05
146,-9.51944805E-05
147,-1.00088248E-04
148,-9.52682929E-05
149,-9.13975664E-05
150,-9.25682324E-05
151,-9.63651464E-05
152,-8.94991094E-05
153,-9.07435879E-05
154,-9.62913339E-05
155,-9.62913339E-05
156,-8.97205469E-05
157,-9.16190039E-05
158,-9.43928769E-05
159,-9.16190039E-05
160,-9.45405019E-05
161,-9.42452519E-05
162,-8.96467344E-05
163,-9.35174609E-05
164,-9.32960234E-05
165,-9.17666288E-05
166,-9.15451914E-05
167,-9.15451914E-05
168,-9.15451914E-05
169,-9.62913339E-05
170,-8.67990489E-05
171,-9.33698359E-05
172,-9.05959629E-05
173,-8.78220899E-05
174,-8.88451308E-05
175,-9.15451914E-05
176,-9.35174609E-05
177,-9.04483379E-05
178,-9.14713789E-05
179,-9.35912734E-05
180,-9.33698359E-05
181,-9.45405019E-05
182,-9.51944805E-05
183,-9.41714395E-05
184,-8.86975059E-05
185,-8.89189433E-05
186,-8.94991094E-05
187,-8.69466738E-05
188,-8.96467344E-05
189,-9.25682324E-05
190,-9.14713789E-05
191,-9.35174609E-05
192,-9.27896698E-05
193,-9.54897304E-05
194,-9.53421054E-05
195,-9.35174609E-05
196,-9.24944199E-05
197,-9.54897304E-05
198,-9.62913339E-05
199,-9.63651464E-05
200,-8.95729219E-05
201,-9.61437090E-05
202,-9.72405624E-05
203,-9.64389589E-05
204,-9.44666894E-05
205,-9.89913945E-05
206,-9.81897909E-05
207,-9.73143749E-05
208,-9.70929375E-05
209,-9.64389589E-05
210,-9.33698359E-05
211,-9.45405019E-05
212,-9.91390194E-05
213,-1.00889851E-04
214,-1.00014435E-04
215,-9.71667499E-05
216,-9.90652070E-05
217,-9.81897909E-05
218,-9.84112284E-05
219,-9.62913339E-05
220,-9.46881268E-05
221,-9.43928769E-05
222,-9.45405019E-05
223,-9.90652070E-05
224,-9.51944805E-05
225,-9.73881874E-05
226,-1.00963664E-04
227,-1.04908203E-04
228,-1.02935933E-04
229,-9.71667499E-05
230,-9.46881268E-05
231,-9.73881874E-05
232,-9.61437090E-05
233,-9.54897304E-05
234,-9.63651464E-05
235,-9.53421054E-05
236,-9.52682929E-05
237,-9.27158573E-05
238,-9.24944199E-05
239,-9.42452519E-05
240,-9.05959629E-05
241,-9.46143144E-05
242,-9.55635429E-05
243,-9.32960234E-05
244,-9.14713789E-05
245,-9.23467949E-05
246,-9.45405019E-05
247,-9.24206074E-05
248,-9.62913339E-05
249,-9.34436484E-05
250,-8.78220899E-05
251,-9.24206074E-05
252,-8.87713184E-05
253,-9.42452519E-05
254,-9.05959629E-05
255,-9.05221504E-05
256,-8.95729219E-05
257,-9.14713789E-05
258,-9.15451914E-05
259,-9.24944199E-05
260,-9.23467949E-05
261,-8.77482774E-05
262,-8.96467344E-05
263,-9.46143144E-05
264,-9.24944199E-05
265,-9.26420449E-05
266,-9.43928769E-05
267,-8.97205469E-05
268,-9.16190039E-05
269,-8.67990489E-05
270,-8.22743438E-05
271,-8.89189433E-05
272,-9.36650858E-05
273,-8.96467344E-05
274,-9.62175214E-05
275,-9.16190039E-05
276,-9.33698359E-05
277,-8.87713184E-05
278,-9.52682929E-05
279,-9.54897304E-05
280,-9.73143749E-05
281,-9.73143749E-05
282,-9.34436484E-05
283,-9.34436484E-05
284,-9.61437090E-05
285,-9.82636034E-05
286,-9.64389589E-05
287,-9.41714395E-05
288,-9.62175214E-05
289,-9.25682324E-05
290,-9.53421054E-05
291,-9.73143749E-05
292,-9.61437090E-05
293,-9.25682324E-05
294,-1.01986705E-04
295,-1.00162060E-04
296,-1.02060517E-04
297,-9.92128319E-05
298,-1.01111289E-04
299,-9.81897909E-05
300,-9.35174609E-05
301,-9.81159784E-05
302,-9.63651464E-05
303,-9.91390194E-05
304,-9.64389589E-05
305,-9.54159179E-05
306,-9.44666894E-05
307,-9.62175214E-05
308,-9.54159179E-05
309,-9.53421054E-05
310,-9.54159179E-05
311,-1.00963664E-04
312,-9.99406230E-05
313,-9.83374159E-05
314,-9.43190644E-05
315,-9.65865838E-05
316,-9.63651464E-05
317,-9.32960234E-05
318,-9.16190039E-05
319,-9.90652070E-05
320,-9.81159784E-05
321,-9.43928769E-05
322,-9.52682929E-05
323,-9.80421660E-05
324,-8.86975059E-05
325,-9.43190644E-05
326,-9.61437090E-05
327,-9.70929375E-05
328,-9.06697754E-05
329,-9.05221504E-05
330,-9.04483379E-05
331,-9.06697754E-05
332,-9.71667499E-05
333,-9.05959629E-05
334,-9.53421054E-05
335,-9.32960234E-05
336,-8.88451308E-05
337,-9.42452519E-05
338,-8.96467344E-05
339,-8.96467344E-05
340,-8.97205469E-05
341,-9.17666288E-05
342,-9.45405019E-05
343,-9.08912128E-05
344,-9.14713789E-05
345,-9.46143144E-05
346,-9.71667499E-05
347,-9.25682324E-05
348,-8.97943593E-05
349,-9.06697754E-05
350,-8.96467344E-05
351,-8.95729219E-05
352,-8.69466738E-05
353,-8.86236934E-05
354,-9.13975664E-05
355,-8.97205469E-05
356,-9.34436484E-05
357,-9.07435879E-05
358,-9.52682929E-05
359,-9.32960234E-05
360,-9.35174609E-05
361,-9.33698359E-05
362,-9.16190039E-05
363,-9.84112284E-05
364,-9.54159179E-05
365,-9.44666894E-05
366,-9.53421054E-05
367,-9.34436484E-05
368,-9.43928769E-05
369,-8.97205469E-05
370,-9.73881874E-05
371,-9.44666894E-05
372,-9.35174609E-05
373,-9.14713789E-05
374,-9.54897304E-05
375,-9.16928164E-05
376,-9.81159784E-05
377,-9.99406230E-05
378,-9.70929375E-05
379,-1.00088248E-04
380,-1.00889851E-04
381,-1.01986705E-04
382,-9.13975664E-05
383,-9.71667499E-05
384,-9.81159784E-05
385,-9.89913945E-05
386,-9.70929375E-05
387,-9.62913339E-05
388,-9.23467949E-05
389,-9.26420449E-05
390,-9.53421054E-05
391,-9.80421660E-05
392,-9.80421660E-05
393,-1.00088248E-04
394,-9.92128319E-05
395,-9.73881874E-05
396,-9.71667499E-05
397,-1.00162060E-04
398,-9.79683535E-05
399,-9.70929375E-05
400,-9.89913945E-05
401,-9.82636034E-05
402,-9.51944805E-05
403,-9.62913339E-05
404,-9.64389589E-05
405,-8.96467344E-05
406,-9.33698359E-05
407,-8.76006524E-05
408,-9.06697754E-05
409,-9.55635429E-05
410,-9.44666894E-05
411,-9.35912734E-05
412,-9.16190039E-05
413,-9.06697754E-05
414,-9.25682324E-05
415,-9.07435879E-05
416,-8.87713184E-05
417,-9.18404413E-05
418,-9.06697754E-05
419,-9.42452519E-05
420,-9.14713789E-05
421,-8.97205469E-05
422,-9.24206074E-05
423,-8.98681718E-05
424,-9.13975664E-05
425,-9.18404413E-05
426,-9.25682324E-05
427,-9.24944199E-05
428,-8.96467344E-05
429,-9.35912734E-05
430,-9.33698359E-05
431,-9.16190039E-05
432,-9.24206074E-05
433,-9.32960234E-05
434,-8.97943593E-05
435,-9.46143144E-05
436,-8.86975059E-05
437,-9.05959629E-05
438,-9.05959629E-05
439,-9.24206074E-05
440,-9.24944199E-05
441,-9.08912128E-05
442,-9.05959629E-05
443,-9.35174609E-05
444,-9.06697754E-05
445,-9.16190039E-05
446,-9.53421054E-05
447,-9.54897304E-05
448,-9.73143749E-05
449,-9.54159179E-05
450,-9.62175214E-05
451,-9.52682929E-05
452,-9.72405624E-05
453,-9.92866444E-05
454,-9.34436484E-05
455,-9.89175820E-05
456,-9.81159784E-05
457,-9.90652070E-05
458,-9.53421054E-05
459,-9.91390194E-05
460,-1.01839080E-04
461,-9.90652070E-05
462,-1.01111289E-04
463,-1.00235873E-04
464,-9.81897909E-05
465,-1.04834390E-04
466,-1.00963664E-04
467,-9.89913945E-05
468,-9.81159784E-05
469,-9.44666894E-05
470,-9.55635429E-05
471,-9.89913945E-05
472,-9.62913339E-05
473,-9.54897304E-05
474,-9.35174609E-05
475,-9.45405019E-05
476,-9.53421054E-05
477,-9.73881874E-05
478,-9.92128319E-05
479,-1.04686766E-04
480,-1.03885162E-04
481,-9.80421660E-05
482,-9.63651464E-05
483,-9.98668105E-05
484,-9.16190039E-05
485,-9.34436484E-05
486,-9.60698965E-05
487,-9.16190039E-05
488,-9.44666894E-05
489,-9.15451914E-05
490,-8.97205469E-05
491,-9.53421054E-05
492,-9.14713789E-05
493,-9.43928769E-05
494,-9.46143144E-05
495,-9.26420449E-05
496,-9.03745254E-05
497,-9.35174609E-05
498,-9.16190039E-05
499,-9.15451914E-05
500,-8.98681718E-05
501,-9.52682929E-05
502,-9.27158573E-05
503,-9.44666894E-05
504,-9.43928769E-05
505,-9.25682324E-05
506,-8.79697148E-05
507,-8.96467344E-05
508,-8.86236934E-05
509,-8.87713184E-05
510,-9.13975664E-05
511,-8.86236934E-05
512,-9.24206074E-05
513,-9.81159784E-05
514,-9.98668105E-05
515,-9.89913945E-05
516,-9.35174609E-05
517,-8.75268399E-05
518,-9.56373553E-05
519,-9.17666288E-05
520,-9.25682324E-05
521,-8.48267794E-05
522,-8.86975059E-05
523,-9.26420449E-05
524,-9.27158573E-05
525,-9.08174003E-05
526,-9.70191250E-05
527,-9.43190644E-05
528,-9.26420449E-05
529,-9.16928164E-05
530,-9.51944805E-05
531,-9.73143749E-05
532,-9.74619999E-05
533,-9.32222110E-05
534,-9.71667499E-05
535,-9.15451914E-05
536,-9.06697754E-05
537,-9.63651464E-05
538,-9.72405624E-05
539,-9.90652070E-05
540,-9.90652070E-05
541,-9.33698359E-05
542,-9.81159784E-05
543,-9.54897304E-05
544,-9.41714395E-05
545,-9.33698359E-05
546,-9.72405624E-05
547,-9.92128319E-05
548,-9.92866444E-05
549,-9.44666894E-05
550,-9.62913339E-05
551,-9.62913339E-05
552,-9.81159784E-05
553,-9.82636034E-05
554,-1.03811349E-04
555,-9.63651464E-05
556,-9.35912734E-05
557,-9.62175214E-05
558,-9.90652070E-05
559,-9.61437090E-05
560,-9.64389589E-05
561,-9.81897909E-05
562,-9.92866444E-05
563,-1.04834390E-04
564,-9.81897909E-05
565,-9.72405624E-05
566,-9.24944199E-05
567,-9.54897304E-05
568,-9.63651464E-05
569,-9.65127714E-05
570,-9.15451914E-05
571,-9.35912734E-05
572,-9.16190039E-05
573,-9.61437090E-05
574,-9.15451914E-05
575,-9.53421054E-05
576,-8.68728614E-05
577,-9.53421054E-05
578,-9.24944199E-05
579,-8.98681718E-05
580,-9.34436484E-05
581,-9.14713789E-05
582,-9.42452519E-05
583,-9.35174609E-05
584,-9.51944805E-05
585,-8.69466738E-05
586,-9.23467949E-05
587,-9.70929375E-05
588,-9.26420449E-05
589,-9.35174609E-05
590,-9.13975664E-05
591,-8.86975059E-05
592,-9.34436484E-05
593,-9.13237540E-05
594,-8.77482774E-05
595,-9.32960234E-05
596,-8.86975059E-05
597,-8.78220899E-05
598,-9.24944199E-05
599,-8.97943593E-05
600,-9.13237540E-05
601,-8.86236934E-05
602,-9.05959629E-05
603,-9.34436484E-05
604,-9.05959629E-05
605,-8.31497598E-05
606,-8.94252969E-05
607,-8.97943593E-05
608,-9.03745254E-05
609,-9.33698359E-05
610,-9.62913339E-05
611,-9.32960234E-05
612,-9.33698359E-05
613,-9.17666288E-05
614,-8.86975059E-05
615,-9.79683535E-05
616,-9.43190644E-05
617,-9.15451914E-05
618,-9.92866444E-05
619,-9.35912734E-05
620,-9.34436484E-05
621,-9.16928164E-05
622,-1.02862121E-04
623,-1.03009746E-04
624,-9.54159179E-05
625,-9.54159179E-05
626,-9.89913945E-05
627,-9.71667499E-05
628,-9.64389589E-05
629,-9.62175214E-05
630,-9.44666894E-05
631,-9.43190644E-05
632,-9.81159784E-05
633,-9.53421054E-05
634,-9.44666894E-05
635,-9.84112284E-05
636,-9.74619999E-05
637,-9.62913339E-05
638,-9.83374159E-05
639,-9.81897909E-05
640,-9.34436484E-05
641,-9.73881874E-05
642,-9.24206074E-05
643,-9.62175214E-05
644,-9.34436484E-05
645,-9.98668105E-05
646,-9.62175214E-05
647,-1.03885162E-04
648,-9.81897909E-05
649,-9.73881874E-05
650,-9.41714395E-05
651,-9.54159179E-05
652,-9.33698359E-05
653,-9.35912734E-05
654,-9.35174609E-05
655,-9.53421054E-05
656,-9.05959629E-05
657,-9.52682929E-05
658,-9.05959629E-05
659,-9.07435879E-05
660,-9.33698359E-05
661,-9.54159179E-05
662,-9.25682324E-05
663,-9.45405019E-05
664,-9.15451914E-05
665,-9.24206074E-05
666,-8.97205469E-05
667,-9.24944199E-05
668,-9.32222110E-05
669,-9.32960234E-05
670,-9.24944199E-05
671,-9.22729825E-05
672,-9.24944199E-05
673,-9.43190644E-05
674,-8.67990489E-05
675,-9.16928164E-05
676,-8.99419843E-05
677,-9.43928769E-05
678,-9.23467949E-05
