Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,50000
Base Time Seconds,1720447446
Base Time Fractional,.336862708
Base Time,07/08/2024 14:04:06.336862708
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
-7.961653183681e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000000000,None,
-8.161216582049e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000198061,None,
-8.061434882865e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000396152,None,
-7.462744687761e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000594242,None,
-7.961653183681e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000792333,None,
-7.762089785313e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000990424,None,
-8.410670830009e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001188515,None,
-7.662308086129e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001386576,None,
-7.712198935721e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001584697,None,
-8.011544033273e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001782758,None,
-8.061434882865e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.001980849,None,
-7.662308086129e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002178939,None,
-6.963836191841e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002377030,None,
-8.061434882865e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002575152,None,
-7.961653183681e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002773212,None,
-7.961653183681e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.002971303,None,
-7.562526386945e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003169364,None,
-7.861871484497e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003367515,None,
-7.462744687761e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003565545,None,
-7.113508740617e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003763636,None,
-8.111325732457e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.003961697,None,
-7.762089785313e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004159788,None,
-7.911762334089e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004357879,None,
-8.360779980417e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004555970,None,
-7.811980634905e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004754091,None,
-7.362962988577e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.004952182,None,
-7.712198935721e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005150242,None,
-7.861871484497e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005348333,None,
-7.562526386945e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005546424,None,
-6.963836191841e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005744545,None,
-8.560343378785e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.005942606,None,
-8.211107431641e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006140697,None,
-8.610234228377e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006338788,None,
-8.111325732457e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006536879,None,
-8.360779980417e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006735000,None,
-8.211107431641e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.006933091,None,
-8.310889130825e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007131152,None,
-7.961653183681e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007329242,None,
-8.460561679601e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007527333,None,
-8.660125077969e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007725485,None,
-8.061434882865e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.007923515,None,
-8.011544033273e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008121606,None,
-8.111325732457e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008319697,None,
-7.362962988577e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008517788,None,
-7.113508740617e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008715879,None,
-8.011544033273e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.008914000,None,
-8.011544033273e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009112061,None,
-7.811980634905e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009310152,None,
-7.562526386945e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009508242,None,
-8.161216582049e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009706364,None,
-7.712198935721e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.009904424,None,
-8.161216582049e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.010102545,None,
-7.013727041433e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.010300636,None,
-7.662308086129e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.010498697,None,
-7.712198935721e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.010696849,None,
-7.662308086129e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.010894909,None,
-8.011544033273e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.011093000,None,
-7.113508740617e-05,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.011291091,None,
