Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,50000
Base Time Seconds,1721139463
Base Time Fractional,.421742845
Base Time,07/16/2024 14:17:43.421742845
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
-0.006000252160363,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.000000000,None,
-0.005995460071075,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.020000242,None,
-0.005996258752623,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.040000394,None,
-0.006000951006718,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.060000576,None,
-0.005998704714864,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.080000788,None,
-0.006002448534621,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.100000970,None,
-0.005995060730301,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.120001212,None,
-0.005995360235881,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.140001424,None,
-0.005998105703703,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.160001606,None,
-0.005997307022155,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.180001788,None,
-0.006000651501137,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.200001970,None,
-0.005997406857348,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.220002182,None,
-0.005998105703703,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.240002394,None,
-0.005999902737186,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.260002606,None,
-0.005995060730301,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.280002788,None,
-0.005999054138041,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.300002970,None,
-0.00599630867022,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.320003212,None,
-0.005994561554333,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.340003394,None,
-0.005995809494252,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.360003606,None,
-0.005994012460769,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.380003788,None,
-0.00600000257238,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.400004000,None,
-0.005992265344882,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.420004212,None,
-0.005993113944027,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.440004424,None,
-0.00599630867022,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.460004576,None,
-0.005994661389527,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.480004788,None,
-0.005999253808428,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.500005000,None,
-0.005993862707979,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.520005182,None,
-0.005994012460769,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.540005394,None,
-0.005998255456493,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.560005636,None,
-0.005995160565494,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.580005788,None,
-0.005999952654783,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.600006000,None,
-0.005993862718259,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.620006212,None,
-0.005992215437566,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.640006394,None,
-0.005999153983516,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.660006606,None,
-0.005993413459888,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.680006788,None,
-0.00599770637321,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.700007000,None,
-0.005994561564614,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.720007182,None,
-0.005994861070194,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.740007394,None,
-0.006000052500258,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.760007606,None,
-0.005994811152598,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.780007788,None,
-0.006001200604984,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.800007970,None,
-0.00599585942213,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.820008182,None,
-0.005995559916549,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.840008394,None,
-0.006000002582661,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.860008576,None,
