Start date:,07/16/2024,Start time:,15:30:52.320
Reading #,Reading
1,-3.06148731E-02
2,-3.06367276E-02
3,-3.06031643E-02
4,-3.05952299E-02
5,-3.06060227E-02
6,-3.05921173E-02
7,-3.06115861E-02
8,-3.05923137E-02
9,-3.05734342E-02
10,-3.06103717E-02
11,-3.05817394E-02
12,-3.05761907E-02
13,-3.05868448E-02
14,-3.05890267E-02
15,-3.05736159E-02
16,-3.05477254E-02
17,-3.05557470E-02
18,-3.05665398E-02
19,-3.05966775E-02
20,-3.05860811E-02
21,-3.05811869E-02
22,-3.05953539E-02
23,-3.05973099E-02
24,-3.06017535E-02
25,-3.05769250E-02
26,-3.05714267E-02
27,-3.05811575E-02
28,-3.05752158E-02
29,-3.05566053E-02
30,-3.05582052E-02
31,-3.05537763E-02
32,-3.05399580E-02
33,-3.05347801E-02
34,-3.05547291E-02
35,-3.05404528E-02
36,-3.05487727E-02
37,-3.05715507E-02
38,-3.05618998E-02
39,-3.05647214E-02
40,-3.05726778E-02
41,-3.05814411E-02
42,-3.05534926E-02
43,-3.05839066E-02
44,-3.05499871E-02
45,-3.05673760E-02
46,-3.05242857E-02
47,-3.05097479E-02
48,-3.05665251E-02
49,-3.05493978E-02
50,-3.05417764E-02
51,-3.05404381E-02
52,-3.05460236E-02
53,-3.05757758E-02
54,-3.05537910E-02
55,-3.05496310E-02
56,-3.05356384E-02
57,-3.05442199E-02
58,-3.05497108E-02
59,-3.05083223E-02
60,-3.05317694E-02
61,-3.05043662E-02
62,-3.05084095E-02
63,-3.04977627E-02
64,-3.04793265E-02
65,-3.04824392E-02
66,-3.04973772E-02
67,-3.05126935E-02
68,-3.04843374E-02
69,-3.04709194E-02
70,-3.04816828E-02
71,-3.04819591E-02
72,-3.04806502E-02
73,-3.04686577E-02
74,-3.04808540E-02
75,-3.04733776E-02
76,-3.04561558E-02
77,-3.04627014E-02
78,-3.04561999E-02
79,-3.04608399E-02
80,-3.04652541E-02
81,-3.04786794E-02
82,-3.04685705E-02
83,-3.04792467E-02
84,-3.04740394E-02
85,-3.04676251E-02
86,-3.04648759E-02
87,-3.04437273E-02
88,-3.04574289E-02
89,-3.04585194E-02
90,-3.04856757E-02
91,-3.04749848E-02
92,-3.04903883E-02
93,-3.04976461E-02
94,-3.04799884E-02
95,-3.04486289E-02
96,-3.04728250E-02
97,-3.04727158E-02
98,-3.05010424E-02
99,-3.04844393E-02
100,-3.04932099E-02
101,-3.04709194E-02
102,-3.04843521E-02
103,-3.04795955E-02
104,-3.04522941E-02
105,-3.04768978E-02
106,-3.04494651E-02
107,-3.04506291E-02
108,-3.04787666E-02
109,-3.04667521E-02
110,-3.04634724E-02
111,-3.04556326E-02
112,-3.04462727E-02
113,-3.04384181E-02
114,-3.04557271E-02
115,-3.04450509E-02
116,-3.04306802E-02
117,-3.04345197E-02
118,-3.04437053E-02
119,-3.04527091E-02
120,-3.04615669E-02
121,-3.04308692E-02
122,-3.04121641E-02
123,-3.04141275E-02
124,-3.04234223E-02
125,-3.04190659E-02
126,-3.04227384E-02
127,-3.04135676E-02
128,-3.04237710E-02
129,-3.04303965E-02
130,-3.04539014E-02
131,-3.04055607E-02
132,-3.04061427E-02
133,-3.04220839E-02
134,-3.03917498E-02
135,-3.03921206E-02
136,-3.03906878E-02
137,-3.03942153E-02
138,-3.04164039E-02
139,-3.03972187E-02
140,-3.03812627E-02
141,-3.03747465E-02
142,-3.03697430E-02
143,-3.03879607E-02
144,-3.03790083E-02
145,-3.03682303E-02
146,-3.03847535E-02
147,-3.03768485E-02
148,-3.03974446E-02
149,-3.03926879E-02
150,-3.03753936E-02
151,-3.03898369E-02
152,-3.03970370E-02
153,-3.03860771E-02
154,-3.04284909E-02
155,-3.03794664E-02
156,-3.04106514E-02
157,-3.03698522E-02
158,-3.04056552E-02
159,-3.04248257E-02
160,-3.04044986E-02
161,-3.03650084E-02
162,-3.03648487E-02
163,-3.03596193E-02
164,-3.03706737E-02
165,-3.03649138E-02
166,-3.03705067E-02
167,-3.03736267E-02
168,-3.03547324E-02
169,-3.03815390E-02
170,-3.03793865E-02
171,-3.03812701E-02
172,-3.03668846E-02
173,-3.03782593E-02
174,-3.03916773E-02
175,-3.03872337E-02
176,-3.04085788E-02
177,-3.03783465E-02
178,-3.03716265E-02
179,-3.03668047E-02
180,-3.03679393E-02
181,-3.03487614E-02
182,-3.03606740E-02
183,-3.03621647E-02
184,-3.03419763E-02
185,-3.03404562E-02
186,-3.03525358E-02
187,-3.03679393E-02
188,-3.03529361E-02
189,-3.03862515E-02
190,-3.03482236E-02
191,-3.03567032E-02
192,-3.03877863E-02
193,-3.03989426E-02
194,-3.03716192E-02
195,-3.03765502E-02
196,-3.03733430E-02
197,-3.03653141E-02
198,-3.03797500E-02
199,-3.03630524E-02
200,-3.04020625E-02
201,-3.03690738E-02
202,-3.03684046E-02
203,-3.03921206E-02
204,-3.03839026E-02
205,-3.03573723E-02
206,-3.03687103E-02
207,-3.03750228E-02
208,-3.03724627E-02
209,-3.03369507E-02
210,-3.03344925E-02
211,-3.03513215E-02
212,-3.03586014E-02
213,-3.03505872E-02
214,-3.03411327E-02
215,-3.03040565E-02
216,-3.03300563E-02
217,-3.03253437E-02
218,-3.03494306E-02
219,-3.03369433E-02
220,-3.02961515E-02
221,-3.03079549E-02
222,-3.03340345E-02
223,-3.03365000E-02
224,-3.03366523E-02
225,-3.03445069E-02
226,-3.03281801E-02
227,-3.03231766E-02
228,-3.03352709E-02
229,-3.03107912E-02
230,-3.03233363E-02
231,-3.03318526E-02
232,-3.03411254E-02
233,-3.03311110E-02
234,-3.03208056E-02
235,-3.03523835E-02
236,-3.03530159E-02
237,-3.03332781E-02
238,-3.03115549E-02
239,-3.03530086E-02
240,-3.03502741E-02
241,-3.03431759E-02
242,-3.03864847E-02
243,-3.03468779E-02
244,-3.03415981E-02
245,-3.03578451E-02
246,-3.03391326E-02
247,-3.03471542E-02
248,-3.03333947E-02
249,-3.03375547E-02
250,-3.03333800E-02
251,-3.03415907E-02
252,-3.03131475E-02
253,-3.03184346E-02
254,-3.03409142E-02
255,-3.03393217E-02
256,-3.03236125E-02
257,-3.03585867E-02
258,-3.03225074E-02
259,-3.03428198E-02
260,-3.03311835E-02
261,-3.03367689E-02
262,-3.03544414E-02
263,-3.03502741E-02
264,-3.03141654E-02
265,-3.03636848E-02
266,-3.03364706E-02
267,-3.03455616E-02
268,-3.03454523E-02
269,-3.03245800E-02
270,-3.03275256E-02
271,-3.03235621E-02
272,-3.03226965E-02
273,-3.03270382E-02
274,-3.03224202E-02
275,-3.03448924E-02
276,-3.03140278E-02
277,-3.03260203E-02
278,-3.03079622E-02
279,-3.03520631E-02
280,-3.03384855E-02
281,-3.03360052E-02
282,-3.03261001E-02
283,-3.03362742E-02
284,-3.03000352E-02
285,-3.03198675E-02
286,-3.03318526E-02
287,-3.03143692E-02
288,-3.02669446E-02
289,-3.02797879E-02
290,-3.03027549E-02
291,-3.02889661E-02
292,-3.02948205E-02
293,-3.02900135E-02
294,-3.02916932E-02
295,-3.02702536E-02
296,-3.03110675E-02
297,-3.03029293E-02
298,-3.03058823E-02
299,-3.02912352E-02
300,-3.03207111E-02
301,-3.02787773E-02
302,-3.02596867E-02
303,-3.02826169E-02
304,-3.02892497E-02
305,-3.02772646E-02
306,-3.02832136E-02
307,-3.03346743E-02
308,-3.02903769E-02
309,-3.02922605E-02
310,-3.03330891E-02
311,-3.03056932E-02
312,-3.02904715E-02
313,-3.03149659E-02
314,-3.03142894E-02
315,-3.03360273E-02
316,-3.02742539E-02
317,-3.03099477E-02
318,-3.03094602E-02
319,-3.02928424E-02
320,-3.02838754E-02
321,-3.03065294E-02
322,-3.02959624E-02
323,-3.03209873E-02
324,-3.02709228E-02
325,-3.03090096E-02
326,-3.03023767E-02
327,-3.02720647E-02
328,-3.02891552E-02
329,-3.02951987E-02
330,-3.02617593E-02
331,-3.02960717E-02
332,-3.02885806E-02
333,-3.02850026E-02
334,-3.02782027E-02
335,-3.02740281E-02
336,-3.02848786E-02
337,-3.02774243E-02
338,-3.02863262E-02
339,-3.02726466E-02
340,-3.02841443E-02
341,-3.02919989E-02
342,-3.02557232E-02
343,-3.02695046E-02
344,-3.02771554E-02
345,-3.02854827E-02
346,-3.02870752E-02
347,-3.02836790E-02
348,-3.02902750E-02
349,-3.02887770E-02
350,-3.03172276E-02
351,-3.03180491E-02
352,-3.02949151E-02
353,-3.03021877E-02
354,-3.03333653E-02
355,-3.03350745E-02
356,-3.03151256E-02
357,-3.03076786E-02
358,-3.02651850E-02
359,-3.02602319E-02
360,-3.02789517E-02
361,-3.02771407E-02
362,-3.02891405E-02
363,-3.02758465E-02
364,-3.02577012E-02
365,-3.02526830E-02
366,-3.02749662E-02
367,-3.02721519E-02
368,-3.02471994E-02
369,-3.02469305E-02
370,-3.02493740E-02
371,-3.02679772E-02
372,-3.02421014E-02
373,-3.02233815E-02
374,-3.02426907E-02
375,-3.02288578E-02
376,-3.02322834E-02
377,-3.02025239E-02
378,-3.02173454E-02
379,-3.02448579E-02
380,-3.02239562E-02
381,-3.02173674E-02
382,-3.02270036E-02
383,-3.02328360E-02
384,-3.02548502E-02
385,-3.02504213E-02
386,-3.02229309E-02
387,-3.02233164E-02
388,-3.02233164E-02
389,-3.02278692E-02
390,-3.02279270E-02
391,-3.02131854E-02
392,-3.02112220E-02
393,-3.02197090E-02
394,-3.02362470E-02
395,-3.02127274E-02
396,-3.02087345E-02
397,-3.02169819E-02
398,-3.02051712E-02
399,-3.02635483E-02
400,-3.02592140E-02
401,-3.02250329E-02
402,-3.02393522E-02
403,-3.02678028E-02
404,-3.02605376E-02
405,-3.02753664E-02
406,-3.02352290E-02
407,-3.02438179E-02
408,-3.02346250E-02
409,-3.02158327E-02
410,-3.02287926E-02
411,-3.02093017E-02
412,-3.02469084E-02
413,-3.02333381E-02
414,-3.02361598E-02
415,-3.02336943E-02
416,-3.02213163E-02
417,-3.02416287E-02
418,-3.02553376E-02
419,-3.02329526E-02
420,-3.02201964E-02
421,-3.02476722E-02
422,-3.02349086E-02
423,-3.02236799E-02
424,-3.02424575E-02
425,-3.02391778E-02
426,-3.02541012E-02
427,-3.02612645E-02
428,-3.02424943E-02
429,-3.02186764E-02
430,-3.02285888E-02
431,-3.02164146E-02
432,-3.02237818E-02
433,-3.02038328E-02
434,-3.01975425E-02
435,-3.01962041E-02
436,-3.02047132E-02
437,-3.01955056E-02
438,-3.01720228E-02
439,-3.02013022E-02
440,-3.02062984E-02
441,-3.02336071E-02
442,-3.01927711E-02
443,-3.02236074E-02
444,-3.02108144E-02
445,-3.01893024E-02
446,-3.01766407E-02
447,-3.02062185E-02
448,-3.01837242E-02
449,-3.01997023E-02
450,-3.01653174E-02
451,-3.01880806E-02
452,-3.01929896E-02
453,-3.01980877E-02
454,-3.01655864E-02
455,-3.02221819E-02
456,-3.01842695E-02
457,-3.02038328E-02
458,-3.01991203E-02
459,-3.02170617E-02
460,-3.02025239E-02
461,-3.01953532E-02
462,-3.02013894E-02
463,-3.02093311E-02
464,-3.02164871E-02
465,-3.01792806E-02
466,-3.01996949E-02
467,-3.02121601E-02
468,-3.01958333E-02
469,-3.03740700E-02
470,-3.03858881E-02
471,-3.03817207E-02
472,-3.03826809E-02
473,-3.03839972E-02
474,-3.03789936E-02
475,-3.03824991E-02
476,-3.03813499E-02
477,-3.03618159E-02
478,-3.03703901E-02
479,-3.03759829E-02
480,-3.03961209E-02
481,-3.04180185E-02
482,-3.03597212E-02
483,-3.03721213E-02
484,-3.03818226E-02
485,-3.03864553E-02
486,-3.03629505E-02
487,-3.03746740E-02
488,-3.03912697E-02
489,-3.03867463E-02
490,-3.03646302E-02
